Temperature,Pressure,Methane,Nitrogen,M1_conc,M2_conc,Salttype,D_change,Phase,IFT
27,10.05,0,0,1.5,1.5,NaClCaCl,0.3739,LIQUID,36.84
27,14.03,0,0,1.5,1.5,NaClCaCl,0.3213,LIQUID,35.85
26.9,17.99,0,0,1.5,1.5,NaClCaCl,0.2871,LIQUID,35.5
27.1,21.35,0,0,1.5,1.5,NaClCaCl,0.2658,LIQUID,35.19
26.8,25.17,0,0,1.5,1.5,NaClCaCl,0.2439,LIQUID,35.02
71.1,5.05,0,0,0.045,0.045,NaClCaCl,0.89715,LIQUID,46.59
71,6.11,0,0,0.045,0.045,NaClCaCl,0.87326,LIQUID,43.88
71,7.62,0,0,0.045,0.045,NaClCaCl,0.83338,SC,40.21
70.9,10,0,0,0.045,0.045,NaClCaCl,0.75144,SC,35.78
70.9,14.03,0,0,0.045,0.045,NaClCaCl,0.54936,SC,31.5
70.9,18.02,0,0,0.045,0.045,NaClCaCl,0.39621,SC,29.85
71,20.95,0,0,0.045,0.045,NaClCaCl,0.33286,SC,27.42
71.1,25.02,0,0,0.045,0.045,NaClCaCl,0.27448,SC,27.51
71,5.37,0,0,0.5,0.5,NaClCaCl,0.94423,LIQUID,48.16
71,6.41,0,0,0.5,0.5,NaClCaCl,0.91946,LIQUID,46.39
71,7.82,0,0,0.5,0.5,NaClCaCl,0.88069,SC,43.04
71,10.08,0,0,0.5,0.5,NaClCaCl,0.8009,SC,38.83
71,14.15,0,0,0.5,0.5,NaClCaCl,0.59583,SC,34.09
71,17.92,0,0,0.5,0.5,NaClCaCl,0.45084,SC,32.16
71,21.12,0,0,0.5,0.5,NaClCaCl,0.38076,SC,31.11
71,25.29,0,0,0.5,0.5,NaClCaCl,0.32138,SC,29.89
70.9,5.2,0,0,1,1,NaClCaCl,1.001722,LIQUID,50.45
70.9,6.06,0,0,1,1,NaClCaCl,0.98154,LIQUID,46.92
71,7.64,0,0,1,1,NaClCaCl,0.93908,SC,44.33
71,10,0,0,1,1,NaClCaCl,0.85675,SC,39.4
71,13.98,0,0,1,1,NaClCaCl,0.65662,SC,34.49
71,18.22,0,0,1,1,NaClCaCl,0.49454,SC,32.24
70.9,21.18,0,0,1,1,NaClCaCl,0.43057,SC,32.25
70.9,24.52,0,0,1,1,NaClCaCl,0.38137,SC,32.13
70.9,5.12,0,0,1.5,1.5,NaClCaCl,1.052,LIQUID,53.05
